     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,04/06/2013-04/12/2013,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R022,34TH STREET & 6TH AVENUE      ,00185598,00008636,00000512,00001847,00000850,00070791,00129911,00000000,00000000,00000000,00001656,00002529,00001234,00001200,00007527,00002131,00001165,00000000,00001652,00000000,00000000,00000000,00000000,                                                                                                                               
R023,34TH STREET & 6TH AVENUE      ,00150411,00005979,00000407,00001356,00000707,00035206,00087960,00000000,00000000,00000000,00000329,00002434,00000690,00001138,00004210,00002414,00001140,00000000,00001020,00000000,00000000,00000000,00000000,                                                                                                                               
R024,SUTPHIN BOULEVARD             ,00048081,00002469,00000303,00000734,00000513,00027289,00024268,00000000,00000000,00000000,00000047,00000245,00000738,00000672,00001437,00000456,00000097,00000000,00007501,00000000,00000000,00000000,00000000,                                                                                                                               
R025,JAMAICA CENTER-PARSONS BLVD   ,00068722,00002077,00000489,00001309,00000023,00053084,00044934,00000000,00000000,00000000,00000103,00000400,00000756,00000029,00003561,00000208,00000163,00000000,00000457,00000000,00000000,00000000,00000000,                                                                                                                               
R027,WALL STREET                   ,00068384,00002457,00000085,00000390,00001953,00012020,00045176,00000000,00000000,00000000,00000224,00001399,00000135,00004073,00003562,00001611,00000444,00000000,00000416,00000000,00000000,00000000,00000000,                                                                                                                               
R028,FULTON & WILLIAM STREETS      ,00068360,00003405,00000225,00000871,00000745,00020004,00054430,00000000,00000000,00000000,00000160,00000974,00000292,00001105,00003342,00001074,00000706,00000000,00000680,00000000,00000000,00000000,00000000,                                                                                                                               
R029,PARK PLACE                    ,00150279,00005618,00000274,00001173,00001443,00035376,00085961,00000000,00000000,00000000,00001596,00002181,00000651,00002599,00003948,00002570,00001135,00000000,00001306,00000000,00000000,00000000,00000000,                                                                                                                               
R030,CHAMBERS STREET               ,00057911,00002772,00000125,00000516,00000841,00019114,00045028,00000000,00000000,00000000,00000193,00000893,00000256,00001623,00001812,00001019,00000438,00000000,00000382,00000000,00000000,00000000,00000000,                                                                                                                               
R031,34TH STREET & 7TH AVENUE      ,00107379,00005189,00000259,00000838,00002368,00027175,00044353,00000000,00000000,00000000,00000385,00001146,00000497,00004307,00003336,00002120,00000543,00000000,00000579,00000000,00000000,00000000,00000000,                                                                                                                               
R032,42ND STREET/TIMES SQUARE      ,00092204,00003712,00000228,00000865,00000208,00025866,00074900,00000000,00000000,00000000,00000417,00001784,00000279,00000204,00004400,00001725,00000760,00000000,00000489,00000000,00000000,00000000,00000000,                                                                                                                               
R033,42ND STREET/TIMES SQUARE      ,00183955,00007635,00000471,00001603,00000716,00079579,00094180,00000000,00000000,00000000,00000684,00001874,00001272,00000835,00006151,00002286,00001028,00000000,00002383,00000000,00000000,00000000,00000000,                                                                                                                               
R034,125TH STREET & BROADWAY       ,00017556,00001431,00000081,00000419,00000020,00009578,00017125,00000000,00000000,00000000,00000026,00000071,00000327,00000061,00001006,00000226,00000128,00000000,00000201,00000000,00000000,00000000,00000000,                                                                                                                               
